kernel-name,node,progress,L1MemoryBusy,L1MemoryStalled,L2WriteUnitStalled,L2CacheHit,time
"calDF",1,8,73.84658177037035,3.897984974074072,0.07610327037037035,16.595745088888886,11
"calDF",2,8,74.00712204310348,3.8520877787356373,0.050959080459770115,16.59823162068964,12
"calDF",4,8,73.97095120720724,3.7607409129129143,0.0383943933933934,16.986439165165173,8
"calDF",4,8,73.74648561206894,3.7304066465517236,0.030240419540229876,16.066603761494232,8
"calDF",4,8,73.02986740404039,3.85248661952862,0.07052439057239059,16.519092202020197,8
"calDF",6,8,73.8235428988764,3.8950729775280872,0.07598272659176027,16.584021621722847,8
"calDF",8,8,0,0,0,0,6
"calDF",8,8,0,0,0,0,7
"calDF",16,8,0,0,0,0,7
"calDF",1,16,39.77129363929617,1.930361469208212,0,72.91355250733132,7
"calDF",8,16,40.36490448846154,1.9499054115384615,0,72.71207621923081,9
