NI,NJ,NK,NL
16,16,16,16
16,16,16,32
16,32,32,16
16,32,32,32
16,16,32,16
16,16,32,32
32,32,32,16
16,32,32,64
32,48,32,32
32,48,32,48
48,32,48,64
48,48,48,64
32,48,48,48
32,48,48,32
32,48,48,64
64,48,48,64
32,64,48,96
32,32,32,32
64,64,64,96
48,48,48,96
96,96,64,96
96,96,64,64
96,32,64,96
96,64,96,96
96,64,96,64
96,64,96,32
64,96,96,32
64,96,96,64
64,96,96,128
64,64,64,96
64,64,64,64
64,64,64,128
64,64,128,128
64,128,64,128
128,64,64,128
128,128,128,128
192,192,192,192
128,128,128,192
128,128,192,128
128,192,128,128
192,128,128,128
256,256,256,256
192,192,192,256
192,256,192,256
192,256,256,256
256,192,256,192
